"eng","Comment"
"Quistis
“Are the machine guns and
 main cannon ready?”",""
"Selphie
“Rrready!”",""
"Selphie
“Let's just fire like crazy
 and make a big hole, BOOM!”",""
"Irvine
“Shields!”",""
"Selphie
“WHOO-HOOOO!!!”",""
"#rgair3","825"
"No motions are included.
They are floating.",""
"(...There's air...)",""
"(...Ok?)",""
"【Save Point】
 Access the Menu and select
[Save] to save your game.",""
"#rgair1","823"
"No motion",""
"(Wh...What?)",""
"{Rinoa}
“{Squall}?”",""
"{Rinoa}
“Thank you, {Squall}.”",""
"{Rinoa}
“You rescued me again.
 I can't thank you enough.”",""
"{Squall}
“Don't worry about it.
 I just did what I wanted to do.”",""
"(Now what?)",""
"{Rinoa}
“The space suit was in our way before.”",""
"(Huh?)",""
"{Rinoa}
“Give me a hug.”",""
"(...?)",""
"{Rinoa}
“A real tight one!”",""
"{Rinoa}
“I need to know that
 I'm alive!”",""
"(...Alive?)",""
"(We still have to get back.)",""
"{Squall}
“We may be alive right now...
 But look at our situation...”",""
"{Squall}
“You want to live, right?
 You want to go back and
 see everyone, right?”",""
"{Rinoa}
“And not become other people's memories?”",""
"{Squall}
“That's right.”",""
"#rgair2","824"
"Test",""
"Quistis
“This is my territory.
 I can only play you here.”",""
"Quistis
“Do you want to play?”
Yes
No",""
"Quistis
“Let's see... Where are my cards...?”",""
"Quistis
“Alright, I'm ready.”",""
"Quistis
“You must have at least
 5 cards to play against me.”",""
"Quistis
“Why don't we include
 {Balamb}'s rules?”",""
"Quistis
“Why don't we include
 {Galbadia}'s rules?”",""
"Quistis
“Why don't we include
 {Trabia}'s rules?”",""
"Quistis
“Why don't we include
 {Centra}'s rules?”",""
"Quistis
“Why don't we include
 {Dollet}'s rules?”",""
"Quistis
“Why don't we include
 FH's rules?”",""
"Quistis
“Why don't we include
 Lunar's rules?”",""
"Quistis
“Why don't we include
 {Esthar}'s rules?”",""
"Quistis
“Why don't we include
 the {Blue}‘open'{White} rule?”",""
"Quistis
“Why don't we include
 the {Blue}‘same'{White} rule?”",""
"Quistis
“Why don't we include
 the {Blue}‘plus'{White} rule?”",""
"Quistis
“Why don't we include
 the {Blue}‘random'{White} rule?”",""
"Quistis
“Why don't we include
 the {Blue}‘sudden death'{White} rule?”",""
"Quistis
“Why don't we include
 the {Blue}‘retry'{White} rule?”",""
"Quistis
“Why don't we include
 the {Blue}‘same wall' rule?”",""
"Quistis
“Why don't we include
 the {Blue}‘elemental'{White} rule?”",""
"Quistis
“Why don't we stop using
 the {Blue}‘open'{White} rule?”",""
"Quistis
“Why don't we stop using
 the {Blue}‘same'{White} rule?”",""
"Quistis
“Why don't we stop using
 the {Blue}‘plus'{White} rule?”",""
"Quistis
“Why don't we stop using
 the {Blue}‘random'{White} rule?”",""
"Quistis
“Why don't we stop using
 the {Blue}‘sudden death'{White} rule?”",""
"Quistis
“Why don't we stop using
 the {Blue}‘retry'{White} rule?”",""
"Quistis
“Why don't we stop using
 the {Blue}‘wall same'{White} rule?”",""
"Quistis
“Why don't we stop using
 the {Blue}‘elemental'{White} rule?”",""
"“{Balamb}”",""
"“{Galbadia}”",""
"“{Trabia}”",""
"“{Centra}”",""
"“{Dollet}”",""
"“FH”",""
"“Lunar”",""
"“{Esthar}”",""
"“No optional rules”",""
"#rgexit2","830"
"Test",""
"Xu
“{Squall}!”",""
"Xu
“{Squall}!  Quistis!”",""
"Quistis
“Xu!”",""
"Xu
“Oh, am I glad to see you!
 I wanted {Squall} to play cards
 with the CC group members.”
{NewPage}
“And when I got here...
 no one was around.
 Then all that ruckus
 started outside.”
{NewPage}
“What on earth is going on?
 Is this all because of
 that Sorceress Ultimecia?”",""
"Quistis
“Yes.  Time compression has begun.”
{NewPage}
“We must get to Ultimecia before she
 begins compressing time in this world.”",""
"{Squall}
“Yeah, time compression is starting.”
{NewPage}
“We have to kill Ultimecia before she
 begins compressing time in this world.”",""
"Xu
“Hmmm...
 Sounds serious.”
{NewPage}
“Go kick some butt!!!”",""
"Xu
“Oh, {Squall}.
 Since the CC members are all here...”
{NewPage}
“Why don't you play a
 hand with us?
 We all learned rules
 from around the world.”
{NewPage}
“And Quistis... I mean,
 Cardmaster King will play in the
 airlock.”",""
"Quistis
“Alright,
 sure.”",""
"Xu
“I wonder if everyone at
 the Garden is all right?”",""
"Xu
“Go defeat Ultimecia!
 I'm behind you 100%.”",""
"Xu
“Welcome back!
 Is the situation any better?”",""
"Xu
“What? You wanna play cards, now?
 That's the spirit!”
Yes
No",""
"Xu
“Just a sec.
 I'm choosing my cards.”",""
"Xu
“OK.”",""
"Xu
“{Squall}...
 You need to have at least
 5 cards to play.”",""
"Xu
“Oh, {Balamb}'s rules?
 OK, let's include that.”",""
"Xu
“Oh, {Galbadia}'s rules?
 OK, let's include that.”",""
"Xu
“Oh, {Trabia}'s rules?
 OK, let's include that.”",""
"Xu
“Oh, {Centra}'s rules?
 OK, let's include that.”",""
"Xu
“Oh, {Dollet}'s rules?
 OK, let's include that.”",""
"Xu
“Oh, FH's rules?
 OK, let's include that.”",""
"Xu
“Oh, Lunar's rules?
 OK, let's include that.”",""
"Xu
“Oh, {Esthar}'s rules?
 OK, let's include that.”",""
"Xu
“Let's use the {Blue}‘open'{White} rule.”",""
"Xu
“Let's use the {Blue}‘same' rule.”",""
"Xu
“Let's use the {Blue}‘plus'{White} rule.”",""
"Xu
“Let's use the {Blue}‘random'{White} rule.”",""
"Xu
“Let's use the {Blue}‘sudden death'{White} rule.”",""
"Xu
“Let's use the {Blue}‘retry'{White} rule.”",""
"Xu
“Let's use the {Blue}‘same wall'{White} rule.”",""
"Xu
“Let's use the {Blue}‘elemental'{White} rule.”",""
"Xu
“No more {Blue}‘open'{White} rule.”",""
"Xu
“No more {Blue}‘same'{White} rule.”",""
"Xu
“No more {Blue}‘plus'{White} rule.”",""
"“No more {Blue}‘random'{White} rule.”",""
"Xu
“No more {Blue}‘sudden death'{White} rule.”",""
"Xu
“No more {Blue}‘retry'{White} rule.”",""
"Xu
“No more {Blue}‘same wall'{White} rule.”",""
"Xu
“No more {Blue}‘elemental'{White} rule.”",""
"“{Balamb}”",""
"“{Galbadia}”",""
"“{Trabia}”",""
"“{Centra}”",""
"“{Dollet}”",""
"“FH”",""
"“Lunar”",""
"“{Esthar}”",""
"“No optional rules”",""
"#rgexit1","829"
"test",""
"#rghatch1","839"
"test",""
"",""
"",""
"#rgcock3","828"
"",""
"{Rinoa}
“Wow!”",""
"(I have to...
 fly this thing?)",""
"{Rinoa}
“Huh?  Did you say something?”",""
"{Rinoa}
“{Squall}, it's
 trying to talk.”",""
"(Volume?)",""
"“This is {Esthar} Airstation.”",""
"(It's...)",""
"“Ragnarok, do you read?
 Ragnarok, do you read!?”",""
"(...a radio signal.)",""
"“This is Airstation.
 Do you copy?”",""
"{Squall}
“This ship is the Ragnarok?”",""
"“Whoa!
 Is this really the Ragnarok?
 You're in space, right?”",""
"{Squall}
“Yeah but, I have no idea where we are.”",""
"“Roger that!
 We can track you from here.”",""
"(We can go home...?)",""
"“Ragnarok... It's been 15 years!”",""
"{Squall}
“Can we make it back?”",""
"“Leave it to us!
 You should have enough fuel.”
{NewPage}
“Enter your location into the atomospheric
 reentry program and you'll be ok.”
{NewPage}
“Once you enter the atomosphere, we can
 guide you down.  You'll be just fine.”",""
"{Squall}
“How do I enter the data?”",""
"“No sweat.
 We'll take this step by step.”",""
"“Are you in the pilot seat?”",""
"{Squall}
“There's too many seats here.”",""
"“It's the one on the right.
 Go sit there.”",""
"{Squall}
“Ok, I'm here.”",""
"“See the touch panel in front of you?”",""
"{Squall}
“Yeah, I see it.”",""
"“The rest is easy.
 Just enter the following data.”",""
"{Squall}
“Go ahead.”",""
"“WJHEIE/...”",""
"{Squall}
“Entered.”",""
"“Then... 2872/HD-IEU”",""
"“No errors?”",""
"{Squall}
“It's fine.”",""
"“Next, I'm sure you're ok, but
 there's something I need you to do.”",""
"“Turn off the
 gravity generator.”
{NewPage}
“This should save some fuel.”
{NewPage}
“Use the same touch
 panel to turn it off.”",""
"{Squall}
“Alright.”",""
"(This must be it.)",""
"{Squall}
“Done.”",""
"“Congratulations.
 You're home free, Ragnarok.”",""
"“And...”",""
"“There's one more thing
 we need to tell you.”",""
"“From all of us at Ground Control,
 we wish you godspeed.”",""
"{Squall}
“Thanks.”",""
"{Rinoa}
“Hey!?”",""
"{Rinoa}
“{Squall}......”",""
"{Squall}
“Go sit over there.
 Put your seatbelt on.”",""
"{Rinoa}
“We'll be home soon?”",""
"{Squall}
“Hopefully.”",""
"{Squall}
“Now go sit down.”",""
"{Rinoa}
“Just a little longer.”",""
"{Squall}
“Why are you holding onto me
 like this?”",""
"{Rinoa}
“You don't like this, {Squall}?”",""
"{Squall}
“Just not used to it.”",""
"{Rinoa}
“How about when you were little?”",""
"{Rinoa}
“Didn't you feel safe and secure
 being held by your parents?”",""
"{Squall}
“I can't remember anything
 about my parents...”",""
"",""
"{Squall}
“But...Ellone was
 there for me.”",""
"{Squall}
“Ellone was there
 to hold my hand.”",""
"{Rinoa}
“Made you feel safe and secure?”",""
"{Squall}
“Sure.”",""
"{Squall}
“But she left.
 Just disappeared.”",""
"{Squall}
“I'm afraid...”",""
"{Squall}
“Afraid of having that feeling of
 comfort taken away.”",""
"",""
"{Rinoa}
“You were afraid
 of losing us?”",""
"{Rinoa}
“Is that why you
 kept your distance?”",""
"{Squall}
“I was always alone...”",""
"{Rinoa}
“{Squall}...”",""
"{Rinoa}
“You missed out on all
 the good things in life.”",""
"{Rinoa}
“You've missed out
 on so much.”",""
"{Squall}
“Maybe.”",""
"{Rinoa}
“Definitely.”",""
"{Rinoa}
“I like it like this.”",""
"{Rinoa}
“I liked having my mom
 hold me.”",""
"{Rinoa}
“My dad, too, back when
 we got along.”",""
"{Rinoa}
“I loved being close
 to my parents.”",""
"{Squall}
“I'm not your mom.”",""
"{Rinoa}
“No, of course not.”",""
"{Rinoa}
“But now... {Squall}, you're the one
 who gives me the most {Wait032}comfort.”",""
"{Rinoa}
“Comfort and
 happiness...”",""
"{Rinoa}
“And annoyance and
 disappointment, too!”",""
"{Squall}
“...Whatever.”",""
"{Rinoa}
“Whatever.”",""
"{Rinoa}
“Ever since my mom died
 and dad became too busy...”
{NewPage}
“I've never longed to
 touch someone this much.”",""
"{Rinoa}
“I'm serious.
 Totally serious.”",""
"{Squall}
“Ok, ok, I believe you.”",""
"{Rinoa}
“Making sure you're not
 jealous, that's all.”",""
"{Rinoa}
“You're no fun.”",""
"{Squall}

“Jealous?  Of who?”",""
"{Rinoa}
“Oh, nothing.”
{NewPage}
“You don't care about
 other people's past.”",""
"(What the...?)",""
"(Oh... I get it.)",""
"{Squall}
“You mean...
 Seifer?”",""
"{Rinoa}
“Jealous now?”",""
"(Am I?)
(Yeah, I'm jealous)
(Nah...)",""
"{Squall}
“Curious, maybe.”",""
"{Rinoa}
“Hahaha...”",""
"{Squall}
“You're acting strange.”",""
"{Rinoa}
“You don't have to worry.
 It's all in the past now.”",""
"(All in the past...)",""
"(I guess so.)",""
"{Squall}
“Nah, not really.”",""
"{Rinoa}
“Not even a little bit?”",""
"{Rinoa}
“I guess it doesn't matter.”",""
"(What do you want me to say?)",""
"(What can I do?)",""
"{Squall}
“You should get back to your seat now.”",""
"{Rinoa}
“Just a little longer.”",""
"(You'll be safer
 in your seat.)",""
"{Rinoa}
“We're gonna make it home, right?”",""
"{Squall}
“We can only hope.”",""
"{Squall}
“There's not much we can do.”",""
"{Rinoa}
“When we get back...
 We won't be able to stay {Wait032}together, huh?”",""
"{Squall}
“...Maybe.”",""
"{Squall}
“No one can predict the future,
 there are no guarantees.”",""
"{Squall}
“Those were your
 words, {Wait032}{Rinoa}.”",""
"{Rinoa}
“That's not what I meant.”",""
"{Squall}
“We'll figure out what to do
 once we get back.”",""
"{Rinoa}
“They'll all be {Wait032}angry at me.”",""
"{Squall}
“Angry?”",""
"“This is Airstation.
 Ragnarok, please respond.”",""
"{Squall}
“This is the Ragnarok.”",""
"“We have some questions for you.”",""
"“We're collecting escape pods.”",""
"“We have a good idea of what
 happened.”",""
"“I hear no one from Lunar
 Base is on the Ragnarok.”",""
"“How many of you are there?”",""
"{Squall}
“Just two.”",""
"“......
 Your names?”",""
"{Squall}
“{Squall}.  I'm a SeeD from
 {Balamb} Garden.”",""
"“And the other?”",""
"{Squall}
“...{Rinoa}.”",""
"“{Rinoa}?
 The sorceress!?
 She's on the ship!?”",""
"(So... It's true?
 {Rinoa} is a sorceress?)",""
"{Rinoa}
“I've...become a sorceress.  I can't
 stay with you anymore, {Wait016}{Squall}.”",""
"“Respond, Ragnarok!”",""
"{Rinoa}
“I don't want the future.
 I want the present to stand still.
 I just want to stay here with you...”",""
"({Rinoa}...)",""
"{Rinoa}
“Nobody would want to be
 around me anymore...”",""
"“The sorceress will be seized upon arrival.
 Be sure to follow the crews instructions.”",""
"{Rinoa}
“I'm...{Wait032}scared.”",""
"“{Squall}, do you copy?
 Is the sorceress listening, too?”",""
"{Rinoa}
“I'm scared, {Squall}.”",""
"{Rinoa}
“I don't wanna go back.”",""
"{Rinoa}
“Goodbye, {Squall}.”",""
"#rgcock2","827"
"“Test”",""
"“Temp First time to WM”",""
"“Temp place stopped right before”",""
"“Temp After transfering at FH”",""
"Selphie
“Whoo-hoo!  We're flying!”",""
"Irvine
“Selphie's just amazing!”",""
"{Squall}
“You sure you can fly this?”",""
"Selphie
“It just kinda took off!”
{NewPage}
“I don't know.  It's pretty easy.
 I think I'll be fine.”",""
"Selphie
“But there's no guarantee it won't crash!”",""
"(No one can predict
 the future, right?)",""
"{Squall}
“Selphie, head for Esthar.
 She's probably at the {Blue}【Sorceress Memorial】{White}.
 We're gonna go rescue {Rinoa}.”",""
"Quistis
“What's wrong, {Rinoa}?”",""
"{Rinoa}
“I'm just a little...embarrassed.”",""
"Zell
“Why?”",""
"{Rinoa}
“I was so set on
 staying in Esthar.”",""
"{Rinoa}
“But then, when you guys rescued me...
 It made me so happy, and...”",""
"Irvine
“No need to be embarrassed!”",""
"Selphie
“Yeah, happy is good.”",""
"{Rinoa}
“Thanks...everybody.”",""
"Zell
“{Squall}, you're awfully quiet.
 What's up?”",""
"(I have a lot on my mind...)",""
"Quistis
“As an expert {Squall} observer...”",""
"Quistis
“He's thinking: what do we do now?
 Blah blah blah...”",""
"Quistis
“If you think and worry too much,
 everything tends to turn bad.”",""
"Quistis
“{Squall}.  Why don't we just
 picture a brighter future?”",""
"{Squall}
“...Whatever.”",""
"Zell
“But seriously, what do we do from here?”",""
"Zell
“I'm not really sure, but...”",""
"Zell
“Don't we have to do something about
 that ‘Lunatic Pandora' in Esthar?”",""
"Zell
“After all, the Galbadians are controlling it.”
{NewPage}
“Which means Seifer is
 behind all this too, right?”",""
"{Squall}
“Seifer is...
 Ultimecia's puppet.”",""
"Zell
“Yeah, and that Ultimecia!”
{NewPage}
“We can't let that sorceress from
 the future mess up our world!”",""
"Zell
“Let's go kick her ass!”
{NewPage}
“We're SeeDs!  We're here to
 destroy sorceresses, right!!!?”",""
"{Squall}
“ZELL!!!”",""
"Zell
“...S-Sorry...”",""
"Irvine
“So {Squall}...where we goin'?”",""
"{Rinoa}
“Umm...”",""
"{Rinoa}
“Can we go to the orphanage you guys
 were talking about in Trabia?”",""
"Quistis
“That place is in shambles.”",""
"Selphie
“There's nothing to see there.”",""
"{Rinoa}
“I want to stay away from places
 where there are lots of people...”
{NewPage}
“I'm a sorceress.  If Ultimecia
 possesses me again...”",""
"{Squall}
“Let's go.
 Head to {Blue}【Edea's House】{White}.”",""
"Selphie
“Okay...”",""
"Selphie
“{Rinoa}'s rescue mission!
 So exciting!”",""
"Quistis
“You're starting to be
 more spontaneous.”",""
"Zell
“Whatever happened to that ring?
 The one with the monster head.”",""
"Irvine
“You know where we're goin'?”
Yes
No",""
"Irvine
“Quisty!  Let's go!”",""
"Irvine
“Sefie!  Let's go!”",""
"Irvine
“Zell!  Let's go!”",""
"Selphie
“Matron's back to being
 a regular person now.”",""
"Quistis
“I wonder how Matron is doing?
 What is she going to do from now on?”",""
"Zell
“I wasn't thinkin' when I said those
 things in front of {Rinoa} earlier...”",""
"Zell
“I don't care if {Rinoa}'s a sorceress!
 She's still our friend!”",""
"{Rinoa}
“I'm going through so many
 emotions all at once...”
{NewPage}
“I'm happy, sad, angry, worried...
 I'm starting to feel schizophrenic.”",""
"{Rinoa}
“Will I ever be at peace...?”",""
"Selphie
“Since Esthar's such a powerful country,
 they must have some big plan ready!”",""
"Quistis
“Sorceress Edea passed on her
 powers to {Rinoa}.”
{NewPage}
“Sorceress Adel is back
 from outer space.
 That's about it, so far.”
{NewPage}
“And Ultimecia is waiting in
 the future to take over the
 sorceress of this time.”",""
"Quistis
“I hope it's not {Rinoa}.”",""
"Zell
“Isn't Sorceress Adel back in
 Esthar now?  Are you sure
 this ain't Adel's trap?”",""
"Zell
“I'm gettin' cold feet.
 Maybe I am a chicken...”",""
"{Rinoa}
“What's the plan?
 Can I come along?”",""
"Selphie
“I can't believe I actually
 met Sir Laguna!”",""
"Quistis
“President Laguna and Dr. Odine...
 Do you think they're trustworthy?”",""
"Zell
“We'll leave it up to you, {Squall}.”",""
"{Rinoa}
“I'm still scared.”",""
"Selphie
“‘Lunatic Pandora', here we come!
 Sir Laguna's plan's gonna work!”",""
"Quistis
“Now it's up to us.”",""
"Zell
“First, we rescue Ellone.  Then defeat
 Sorceress Adel before her awakening.”
{NewPage}
“Then Ultimecia can only possess {Rinoa}.
 Ultimecia possesses {Rinoa}.  Ellone sends
 them both back to the past.”
{NewPage}
“Wait for Ultimecia to use the time
 compression magic.  Fight her inside
 compressed time, and then, VICTORY!”",""
"Zell
“Heh-heh, easy money!”",""
"{Rinoa}
“I'll be ok...
 {Squall}'s with me...”",""
"Selphie
“No turning back now!”",""
"Quistis
“Raijin and Fujin... Next up is Seifer, isn't it?”
{NewPage}
“So it wasn't like Seifer chose Edea
 because she was Matron.  It could've
 been any sorceress.”",""
"Zell
“We're fighting Seifer, right?
 Let's really give it to him!”",""
"{Rinoa}
“Is Seifer in there?”
{NewPage}
“Is he there of his own will?
 Then... I guess we have no choice...”",""
"(We have to fight anyone who
 stands against our plan...)",""
"Selphie
“Phew...”",""
"Zell
“That was brutal.”",""
"Quistis
“Are we going according to plan?
 I'm really worried.”",""
"{Rinoa}
“I'm fine now!
 No use being afraid.”
{NewPage}
“As a sorceress, I'm the key to this plan.
 I have to be strong!”",""
"{Rinoa}
“{Squall}, when this is all over,
 you owe me big time!  Got it!?”",""
"Quistis
“We're almost there...
 We're almost done.”",""
"Zell
“Let's finish this...”",""
"Selphie
“This is getting rough!”",""
"{Rinoa}
“Even if Ultimecia is defeated,
 it won't change the fact that
 she was born.”
{NewPage}
“My powers will be carried on across
 generations and eventually
 reach Ultimecia.”
{NewPage}
“What does it mean to inherit
 Ultimecia's power?”",""
"(Should I go down?)
Go down
Stay",""
"Laguna
“Selphie Tilmitt!
 Can you hear me?”",""
"Laguna
“Quistis Trepe!
 Can you hear me?”",""
"Laguna
“Zell Dincht!
 Can you hear me?”",""
"Selphie
“Loud and clear!”",""
"Quistis
“I hear you, president!”",""
"Zell
“Yo, what's up, prez!?”",""
"#rghang11","837"
"Test",""
"“What's gonna happen
 when time gets compressed?”",""
"“Since an individual doesn't lie on the same
 axis as the number of continuous hours,
 the more the compression progresses, the
 more our existence fades.”",""
"“Good morning.”",""
"“Let's play!”
Yes
No",""
"“Could you hold on a sec?”",""
"“Okay, here are my cards.”",""
"“You need”",""
"“5 or more cards”",""
"“to play.”",""
"“Next,”
{NewPage}
“we'll mix in {Balamb}'s rules and play, ok?”",""
"“Next,”
{NewPage}
“we'll mix in {Galbadia}'s rules and play, ok?”",""
"“Next,”
{NewPage}
“we'll mix in {Trabia}'s rules and play, ok?”",""
"“Next,”
{NewPage}
“we'll mix in {Centra}'s rules and play, ok?”",""
"“Next,”
{NewPage}
“we'll mix in {Dollet}'s rules and play, ok?”",""
"“Next,”
{NewPage}
“we'll mix in FH's rules and play, ok?”",""
"“Next,”
{NewPage}
“we'll mix in Lunar's rules and play, ok?”",""
"“Next,”
{NewPage}
“we'll mix in {Esthar}'s rules and play, ok?”",""
"“The {Blue}‘Open'{White} rule.”
{NewPage}
“I'll use it next time, too.”",""
"“The {Blue}‘Same'{White} rule.”
{NewPage}
“I'll use it next time, too.”",""
"“The {Blue}‘Plus'{White} rule.”
{NewPage}
“I'll use it next time, too.”",""
"“The {Blue}‘Random'{White} rule.”
{NewPage}
“I'll use it next time, too.”",""
"“The {Blue}‘Sudden Death'{White} rule.”
{NewPage}
“I'll use it next time, too.”",""
"“The {Blue}‘Retry'{White} rule.”
{NewPage}
“I'll use it next time, too.”",""
"“The {Blue}‘Same Wall'{White} rule.”
{NewPage}
“I'll use it next time, too.”",""
"“The {Blue}‘Elemental'{White} rule.”
{NewPage}
“I'll use it next time, too.”",""
"“The {Blue}‘Open'{White} rule.”
{NewPage}
“I'll hold off on it for a while.”",""
"“The {Blue}‘Same'{White} rule.”
{NewPage}
“I'll hold off on it for a while.”",""
"“The {Blue}‘Plus'{White} rule.”
{NewPage}
“I'll hold off on it for a while.”",""
"“The {Blue}‘Random'{White} rule.”
{NewPage}
“I'll hold off on it for a while.”",""
"“The {Blue}‘Sudden Death'{White} rule.”
{NewPage}
“I'll hold off on it for a while.”",""
"“The {Blue}‘Retry'{White} rule.”
{NewPage}
“I'll hold off on it for a while.”",""
"“The {Blue}‘Same Wall'{White} rule.”
{NewPage}
“I'll hold off on it for a while.”",""
"“The {Blue}‘Elemental'{White} rule.”
{NewPage}
“I'll hold off on it for a while.”",""
"“{Balamb}”",""
"“{Galbadia}”",""
"“{Trabia}”",""
"“{Centra}”",""
"“{Dollet}”",""
"“FH”",""
"“Lunar”",""
"“{Esthar}”",""
"“No optional rules”",""
"#rghang1","836"
"test",""
"#rgguest4","834"
"“Test”",""
"Quistis
“Ahh... Excuse me, we're flying?”",""
"Zell
“I hope this ain't the case but, I can
 picture Selphie in the pilot seat, and...”",""
"Quistis
“...Selphie screaming,
 ‘Whoo-hoo, we're flying!'”",""
"(And standing next to her,
 a very excited Irvine...)",""
"Laguna
“Alright!”",""
"Laguna
“Everyone!”",""
"Laguna
“From here, we go straight to our
 final target, Ultimecia!”
{NewPage}
“Let's go over the plan again.”",""
"Laguna
“First, enter {Blue}【Lunatic Pandora】{White}
 and rescue Ellone!”",""
"Laguna
“Next, you {Blue}【fight Sorceress Adel】{White}!
 It'll be a surprise attack.
 Show no mercy.”",""
"Laguna
“Now, here comes the tricky part!”",""
"Laguna
“Adel will need to pass on her powers
 before being defeated.  {Rinoa}, will you
 be willing to accept them?”",""
"{Rinoa}
“Yes!”",""
"Laguna
“Good!”",""
"Laguna
“Next, we {Blue}【wait】{White} for
 Sorceress Ultimecia to possess {Rinoa}!”",""
"Laguna
“This'll be hard on you, {Rinoa},
 but will you do it?”",""
"{Rinoa}
“...Yes.”",""
"Laguna
“That's the spirit!”",""
"Laguna
“Then, Ellone sends {Rinoa} and
 {Blue}【Ultimecia to the past】{White}!”
{NewPage}
“Ellone {Blue}【brings back {Rinoa}】{White}!”",""
"Laguna
“Then, {Blue}【head to the future
 through compressed time】{White}!”",""
"Laguna
“Ultimecia lives far in the future where
 none of us can technically exist.”
{NewPage}
“There's only one way to make yourself
 exist in a world like that!”",""
"Laguna
“As friends, don't forget one another!
 As friends, believe in one another!”",""
"Laguna
“Believe in your friends' existence!
 And they'll also believe in yours.”",""
"Laguna
“To be friends, to like one another,
 and to love one another...”
{NewPage}
“You can't do these things alone.
 You need somebody.”",""
"Laguna
“Right, guys?”
{NewPage}
“What place reminds
 you of your friends?”
{NewPage}
“Imagine being in that place
 with all your friends.”
{NewPage}
“Once time compression begins, think of that
 place and try to get there!  That's all!”",""
"Laguna
“That place will welcome you.
 You'll be able to get there no matter
 what period you're in!”
{NewPage}
“You need love and friendship for this
 mission!  And the courage to believe it.”",""
"Laguna
“It's all about love, friendship, and courage!”",""
"Laguna
“I'm counting on you guys!”",""
"{Squall}
“Love and friendship and all that sounds
 corny, but everyone seems to be up for it.”",""
"Laguna
“You think it'll succeed?”",""
"{Squall}
“We'll try.”",""
"Ward
“......”",""
"Laguna
“Hey, thanks, Ward.”",""
"Kiros
“Just like Ward said, Laguna.
 You were quite impressive.”
{NewPage}
“And the speech went well,
 just like you practiced.
 Nice work, Laguna.”",""
"Kiros
“You look very much like your mother.”",""
"Ward
“......”",""
"Kiros
“(Ward says...  Good thing you don't
  look like your father.)”",""
"Laguna
“Let's talk when it's all done.”
{NewPage}
“I have a lot to
 tell you...”",""
"Laguna
“Well, if you don't want to
 hear it, I'll understand.”",""
"“All right man, if you insist.”
Yes
No",""
"“You know some rules we don't
 use around here.”
{NewPage}
“Let's play a game with
 Balamb's rules and ours.”",""
"“You know some rules we don't
 use around here.”
{NewPage}
“Let's play a game with
 Galbadia's rules and ours.”",""
"“You know some rules we don't
 use around here.”
{NewPage}
“Let's play a game with
 Trabia's rules and ours.”",""
"“You know some rules we don't
 use around here.”
{NewPage}
“Let's play a game with
 Centra's rules and ours.”",""
"“You know some rules we don't
 use around here.”
{NewPage}
“Let's play a game with
 Dollet's rules and ours.”",""
"“You know some rules we don't
 use around here.”
{NewPage}
“Let's play a game with
 FH's rules and ours.”",""
"“You know some rules we don't
 use around here.”
{NewPage}
“Let's play a game with
 Lunar's rules and ours.”",""
"“You know some rules we don't
 use around here.”
{NewPage}
“Let's play a game with
 Esthar's rules and ours.”",""
"You need 5 or more
cards to play.",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"#rgroad31","845"
"Test",""
"Club
“......
 ...............”",""
"Club
“A game...?”
Yes
No",""
"Club
“Hold on...”",""
"Club
“Sorry...”",""
"Club
“......
 You don't have at least 5 cards...
 Can't play...”",""
"Club
“Gonna mix in the {Balamb} rules...”",""
"Club
“Gonna mix in the {Galbadia} rules...”",""
"Club
“Gonna mix in the {Trabia} rules...”",""
"Club
“Gonna mix in the {Centra} rules...”",""
"Club
“Gonna mix in the {Dollet} rules...”",""
"Club
“Gonna mix in the FH rules...”",""
"Club
“Gonna mix in the Lunar rules...”",""
"Club
“Gonna mix in the {Esthar} rules...”",""
"Club
“{Blue}‘Open'{White} rule... I like it...”",""
"Club
“{Blue}‘Same'{White} rule... I like it...”",""
"Club
“{Blue}‘Plus'{White} rule... I like it...”",""
"Club
“{Blue}‘Random'{White} rule... I like it...”",""
"Club
“{Blue}‘Sudden Death'{White} rule... I like it...”",""
"Club
“{Blue}‘Retry'{White} rule... I like it...”",""
"Club
“{Blue}‘Same Wall'{White} rule... I like it...”",""
"Club
“{Blue}‘Elemental'{White} rule... I like it...”",""
"Club
“{Blue}‘Open'{White} rule... Forget it...”",""
"Club
“{Blue}‘Same'{White} rule... Forget it...”",""
